,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-06-12,264.533715052804,246.27499711991982,285.30287332853914,264.533715052804,264.533715052804,2.075705237803861,2.075705237803861,2.075705237803861,2.075705237803861,2.075705237803861,2.075705237803861,0.0,0.0,0.0,266.60942029060783
1,2023-06-13,264.333877180529,250.1212800041917,288.00769484793153,264.333877180529,264.333877180529,4.548430922936642,4.548430922936642,4.548430922936642,4.548430922936642,4.548430922936642,4.548430922936642,0.0,0.0,0.0,268.8823081034656
2,2023-06-14,264.134039308254,248.34604979872708,287.713663798167,264.134039308254,264.134039308254,3.9585678494638383,3.9585678494638383,3.9585678494638383,3.9585678494638383,3.9585678494638383,3.9585678494638383,0.0,0.0,0.0,268.09260715771785
3,2023-06-15,263.934201435979,246.76533049828188,285.8615589563226,263.934201435979,263.934201435979,2.5159454649737856,2.5159454649737856,2.5159454649737856,2.5159454649737856,2.5159454649737856,2.5159454649737856,0.0,0.0,0.0,266.4501469009528
4,2023-06-16,263.734363563704,246.7658518810055,284.45284372468495,263.734363563704,263.734363563704,1.821963998817376,1.821963998817376,1.821963998817376,1.821963998817376,1.821963998817376,1.821963998817376,0.0,0.0,0.0,265.55632756252135
5,2023-06-20,262.935012074604,248.1028663597163,288.2678918608723,262.935012074604,262.935012074604,4.548430922934858,4.548430922934858,4.548430922934858,4.548430922934858,4.548430922934858,4.548430922934858,0.0,0.0,0.0,267.4834429975389
6,2023-06-21,262.735174202329,247.34238707473446,286.56220657222315,262.735174202329,262.735174202329,3.958567849461688,3.958567849461688,3.958567849461688,3.958567849461688,3.958567849461688,3.958567849461688,0.0,0.0,0.0,266.6937420517907
7,2023-06-22,262.535336330054,244.65367516785784,285.5760227306592,262.535336330054,262.535336330054,2.515945464971076,2.515945464971076,2.515945464971076,2.515945464971076,2.515945464971076,2.515945464971076,0.0,0.0,0.0,265.0512817950251
8,2023-06-23,262.335498457779,244.41653515224178,284.3373323095745,262.335498457779,262.335498457779,1.8219639988160425,1.8219639988160425,1.8219639988160425,1.8219639988160425,1.8219639988160425,1.8219639988160425,0.0,0.0,0.0,264.15746245659506
9,2023-06-26,261.735984844751,244.05855398939948,282.55780834618025,261.735984844751,261.735984844751,2.075705237791053,2.075705237791053,2.075705237791053,2.075705237791053,2.075705237791053,2.075705237791053,0.0,0.0,0.0,263.81169008254204
10,2023-06-27,261.53614697374167,247.63316603349006,285.3768927136427,261.53614697374167,261.53614697374167,4.548430922937517,4.548430922937517,4.548430922937517,4.548430922937517,4.548430922937517,4.548430922937517,0.0,0.0,0.0,266.0845778966792
11,2023-06-28,261.33630910273234,245.6702683214178,284.7142037778403,261.33630910273234,261.33630910273234,3.9585678494595387,3.9585678494595387,3.9585678494595387,3.9585678494595387,3.9585678494595387,3.9585678494595387,0.0,0.0,0.0,265.2948769521919
12,2023-06-29,261.136471231723,242.22543040407956,281.9756366863106,261.136471231723,261.136471231723,2.5159454649721593,2.5159454649721593,2.5159454649721593,2.5159454649721593,2.5159454649721593,2.5159454649721593,0.0,0.0,0.0,263.6524166966952
13,2023-06-30,260.93663336071364,242.59712337468744,282.3928976021684,260.93663336071364,260.93663336071364,1.8219639988056107,1.8219639988056107,1.8219639988056107,1.8219639988056107,1.8219639988056107,1.8219639988056107,0.0,0.0,0.0,262.75859735951923
14,2023-07-03,260.3371197476857,244.73239833224824,283.502877355055,260.3371197476857,260.3371197476857,2.0757052377987666,2.0757052377987666,2.0757052377987666,2.0757052377987666,2.0757052377987666,2.0757052377987666,0.0,0.0,0.0,262.41282498548446
15,2023-07-05,259.937444005667,244.42932244892842,284.269149327831,259.937444005667,259.937444005667,3.9585678494588095,3.9585678494588095,3.9585678494588095,3.9585678494588095,3.9585678494588095,3.9585678494588095,0.0,0.0,0.0,263.8960118551258
16,2023-07-06,259.73760613465765,242.78946944482763,282.44442080531354,259.73760613465765,259.73760613465765,2.515945464973244,2.515945464973244,2.515945464973244,2.515945464973244,2.515945464973244,2.515945464973244,0.0,0.0,0.0,262.2535515996309
17,2023-07-07,259.5377682675365,242.7105999515848,281.013641874676,259.5377682675365,259.5377682675365,1.821963998804278,1.821963998804278,1.821963998804278,1.821963998804278,1.821963998804278,1.821963998804278,0.0,0.0,0.0,261.35973226634076
18,2023-07-10,258.93825466617295,241.95957071528596,280.6457588768082,258.93825466617295,258.93825466617295,2.075705237800159,2.075705237800159,2.075705237800159,2.075705237800159,2.075705237800159,2.075705237800159,0.0,0.0,0.0,261.0139599039731
19,2023-07-11,258.7384167990518,244.56835370519602,283.497345223575,258.7384167990518,258.7384167990518,4.548430922933947,4.548430922933947,4.548430922933947,4.548430922933947,4.548430922933947,4.548430922933947,0.0,0.0,0.0,263.28684772198574
20,2023-07-12,258.5385789319306,243.15503823649013,283.65613812219874,258.5385789319306,258.5385789319306,3.9585678494580785,3.9585678494580785,3.9585678494580785,3.9585678494580785,3.9585678494580785,3.9585678494580785,0.0,0.0,0.0,262.49714678138866
21,2023-07-13,258.3387410648094,241.06292347092483,281.90937325889104,258.3387410648094,258.3387410648094,2.5159454649705335,2.5159454649705335,2.5159454649705335,2.5159454649705335,2.5159454649705335,2.5159454649705335,0.0,0.0,0.0,260.85468652977994
